                        subject_context                                                         name operation                                object_context  reference_result  medusa_result
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                         /tmp      read                    system_u:object_r:tmp_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                         /tmp     write                    system_u:object_r:tmp_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                     /dev/shm      read                  system_u:object_r:tmpfs_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /proc/meminfo      read                   system_u:object_r:proc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /proc/meminfo     write                   system_u:object_r:proc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /tmp/babel-r235KF      read           unconfined_u:object_r:user_tmp_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /tmp/babel-r235KF     write           unconfined_u:object_r:user_tmp_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /tmp/.font-unix      read             system_u:object_r:user_fonts_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /tmp/.ICE-unix      read               system_u:object_r:user_tmp_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /tmp/.ICE-unix     write               system_u:object_r:user_tmp_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /tmp/.X11-unix      read               system_u:object_r:user_tmp_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /tmp/.X11-unix     write               system_u:object_r:user_tmp_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /etc/host.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                   /etc/hosts      read               system_u:object_r:net_conf_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /etc/authselect/custom     write                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /etc/ssh/moduli      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /etc/ssh/ssh_config      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /usr/sbin/genl      read                    system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /usr/sbin/zic      read                    system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/logsave      read                    system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                 /usr/sbin/ss      read                    system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                        /usr/sbin/iconvconfig      read                    system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/mkswap      read                    system_u:object_r:bin_t:s0                 1              0
